ATR_14,Close,Close_Lag_1,Close_Lag_3,Close_Lag_5,EMA_200,EMA_34,EMA_89,HL_Change,HL_Change_perVol,HMA_200,High,Log_Return,Low,MACD_Hist,MACD_Line,MACD_Signal,OC_Change,OC_Change_perVol,Open,Prev_Close,RSI_14,Return,Return_Lag_1,Return_Lag_3,Return_Lag_5,Rolling_Mean_14,Rolling_Std_14,TR,Volume,Volume_Change,Volume_EMA_34
,7200.17431640625,,,,7200.17431640625,7200.17431640625,7200.17431640625,1.1064368830169768,5.959586598141055e-11,,7254.33056640625,,7174.9443359375,0.0,0.0,0.0,0.07341634171214809,3.9544148687381425e-12,7194.89208984375,,0.0,,,,,,,,18565664997.0,,18565664997.0
,6985.47021484375,7200.17431640625,,,7198.037957186722,7187.905510602678,7195.403114149305,3.992422113724196,1.9192414646549907e-10,,7212.1552734375,-0.030272928096194005,6935.27001953125,-13.701914173788827,-17.127392717236035,-3.4254785434472073,-3.013946677558713,-1.448867697617765e-10,7202.55126953125,7200.17431640625,0.0,-0.029819292162590716,,,,,,276.88525390625,20802083465.0,0.12045991718375726,18693460338.028572
,7344.88427734375,6985.47021484375,,,7199.499114601221,7196.875725845025,7198.724917775848,7.212140564070728,2.565549839178152e-10,,7413.71533203125,0.050171745960031294,6914.99609375,1.3964637005784613,-1.679898917724131,-3.0763626183025923,5.1608453794049405,1.8358496919924715e-10,6984.4287109375,6985.47021484375,65.88818057501013,0.05145166344511276,-0.029819292162590716,,,,,498.71923828125,28111481032.0,0.3513781482176166,19231632949.112656
,7410.65673828125,7344.88427734375,7200.17431640625,,7201.6001854836095,7209.091783698524,7203.434513787079,1.6125775181305666,8.742972243724856e-11,,7427.3857421875,0.008915009823896914,7309.51416015625,15.012120924649295,15.688788537509026,0.6766676128597311,0.8887394538801883,4.818512158215848e-11,7345.37548828125,7344.88427734375,70.05436065456624,0.008954866877941559,0.05145166344511276,,,,,117.87158203125,18444271275.0,-0.3438883118963235,19186640853.449078
,7411.3173828125,7410.65673828125,6985.47021484375,,7203.686923765489,7220.647532219322,7208.054133098754,1.9452838645217894,9.861985081287418e-11,,7544.4970703125,8.914393268935946e-05,7400.53564453125,22.7951826494946,29.170645924727978,6.375463275233381,0.011682454672833615,5.922641718134249e-13,7410.45166015625,7410.65673828125,70.09668829906377,8.914790612779555e-05,0.008954866877941559,-0.029819292162590716,,,,143.96142578125,19725074095.0,0.06944176871525665,19217408467.251987
,7769.21923828125,7411.3173828125,7344.88427734375,7200.17431640625,7209.314110974601,7251.994486851432,7220.524468769477,5.028471951661211,2.1603434600053127e-10,,7781.8671875,0.047161467235659664,7409.29296875,49.260830224237026,67.95150105552966,18.69067083129264,4.84136571773689,2.0799584578276443e-10,7410.4521484375,7411.3173828125,84.12402000094542,0.04829126010697582,8.914790612779555e-05,0.05145166344511276,,,,372.57421875,23276261598.0,0.18003417811749411,19449342931.866158
,8163.6923828125,7769.21923828125,7410.65673828125,6985.47021484375,7218.810412186919,7304.091509477778,7241.483755748211,5.27775839711666,1.8346386307713079e-10,,8178.2158203125,0.04952688932640552,7768.2275390625,88.27060652383082,129.02892898608116,40.75832246225034,5.08464945986744,1.767510678037025e-10,7768.68212890625,7769.21923828125,90.05615926248909,0.050773846435889336,0.04829126010697582,0.008954866877941559,-0.029819292162590716,,,409.98828125,28767291327.0,0.23590685754587892,19981797125.873806
,8079.86279296875,8163.6923828125,7411.3173828125,7344.88427734375,7227.378097567833,7348.421297105834,7260.114401019778,5.529424918845565,1.7458093211166228e-10,,8396.73828125,-0.010321673202805576,7956.7744140625,102.37249308079046,168.72393881323842,66.35144573244796,-1.0055550357497443,-3.174846173106511e-11,8161.935546875,8163.6923828125,82.4975857691473,-0.010268587535248286,0.050773846435889336,8.914790612779555e-05,0.05145166344511276,,,439.9638671875,31672559265.0,0.10099205743688544,20649840676.681015
,7879.0712890625,8079.86279296875,7769.21923828125,7410.65673828125,7233.862606935939,7378.744153789073,7273.868998531838,3.0589101976727457,1.2721082136325029e-10,,8082.2958984375,-0.02516485111441786,7842.40380859375,92.42578896683204,181.88368194098803,89.45789297415598,-2.514441588488342,-1.0456801902353138e-10,8082.2958984375,8079.86279296875,66.96423269430286,-0.024850855645838776,-0.010268587535248286,0.04829126010697582,0.008954866877941559,,,239.89208984375,24045990466.0,-0.24079420722492095,20843906378.927814
,8166.55419921875,7879.0712890625,8163.6923828125,7411.3173828125,7243.1431202919875,7423.761870670769,7293.706447435991,5.691628168715028,1.9821384839273272e-10,,8166.55419921875,0.0358370170573265,7726.77490234375,98.87719212330597,213.05438312828846,114.17719100498249,3.6587373334141526,1.2741739017675706e-10,7878.3076171875,7879.0712890625,74.80216913947478,0.03648690303834745,-0.024850855645838776,0.050773846435889336,8.914790612779555e-05,,,439.779296875,28714583844.0,0.19415267524958857,21293659376.93194
,8037.53759765625,8166.55419921875,8079.86279296875,7769.21923828125,7251.047542952329,7458.834769355653,7310.236028551997,2.3502577455469407,9.20905349626181e-11,,8218.359375,-0.01592428993077385,8029.64208984375,88.4630310781194,224.75597985263175,136.29294877451235,-1.5272041730619226,-5.984069175429349e-11,8162.19091796875,8166.55419921875,66.61773473614824,-0.015798168776598898,0.03648690303834745,-0.010268587535248286,0.04829126010697582,,,188.71728515625,25521165085.0,-0.11121243394468605,21535231131.678684
