Date,Close,High,Low,Open,Source,Symbol
2024-11-01,70265.0,72635.0,69706.0,72343.0,Coingecko,BITCOIN
2024-11-05,67793.0,71500.0,66854.0,70180.0,Coingecko,BITCOIN
2024-11-09,76550.0,77240.0,67448.0,67800.0,Coingecko,BITCOIN
2024-11-13,88265.0,89864.0,75868.0,76513.0,Coingecko,BITCOIN
2024-11-17,90606.0,93477.0,86353.0,87977.0,Coingecko,BITCOIN
2024-11-21,94217.0,94891.0,88774.0,90597.0,Coingecko,BITCOIN
2024-11-25,98016.0,99645.0,94159.0,94366.0,Coingecko,BITCOIN
2024-11-29,95662.0,98882.0,90752.0,98026.0,Coingecko,BITCOIN
2024-12-03,95833.0,98685.0,94498.0,95649.0,Coingecko,BITCOIN
2024-12-07,99974.0,103679.0,92980.0,95862.0,Coingecko,BITCOIN
2024-12-11,96650.0,101235.0,94387.0,99928.0,Coingecko,BITCOIN
2024-12-15,101367.0,102658.0,95741.0,96643.0,Coingecko,BITCOIN
2024-12-19,100356.0,108135.0,100237.0,101393.0,Coingecko,BITCOIN
2024-12-23,95094.0,102759.0,92245.0,100139.0,Coingecko,BITCOIN
2024-12-27,95678.0,99887.0,92442.0,95110.0,Coingecko,BITCOIN
2024-12-31,92627.0,97134.0,91375.0,95688.0,Coingecko,BITCOIN
2025-01-04,98084.0,98971.0,91942.0,92666.0,Coingecko,BITCOIN
2025-01-08,96952.0,102512.0,96164.0,98116.0,Coingecko,BITCOIN
2025-01-12,94560.0,97205.0,91251.0,96807.0,Coingecko,BITCOIN
2025-01-16,100313.0,100702.0,89800.0,94572.0,Coingecko,BITCOIN
2025-01-20,101275.0,106307.0,97532.0,100555.0,Coingecko,BITCOIN
2025-01-24,104068.0,108786.0,99702.0,101184.0,Coingecko,BITCOIN
2025-01-28,101958.0,107006.0,97792.0,104021.0,Coingecko,BITCOIN
2025-02-01,102382.0,106191.0,100272.0,102101.0,Coingecko,BITCOIN
2025-02-05,98118.0,102749.0,92460.0,102405.0,Coingecko,BITCOIN
2025-02-09,96558.0,100097.0,95676.0,97888.0,Coingecko,BITCOIN
2025-02-13,97836.0,98467.0,94120.0,96454.0,Coingecko,BITCOIN
2025-02-17,96149.0,98624.0,95410.0,97887.0,Coingecko,BITCOIN
2025-02-21,98384.0,98758.0,93435.0,96123.0,Coingecko,BITCOIN
2025-02-25,91397.0,99504.0,91397.0,98337.0,Coingecko,BITCOIN
2025-03-01,84442.0,92504.0,78393.0,91582.0,Coingecko,BITCOIN
2025-03-05,87311.0,94902.0,81688.0,84317.0,Coingecko,BITCOIN
2025-03-09,86143.0,92756.0,84972.0,87039.0,Coingecko,BITCOIN
2025-03-13,83884.0,86483.0,76784.0,86173.0,Coingecko,BITCOIN
2025-03-17,82611.0,85140.0,79948.0,83678.0,Coingecko,BITCOIN
2025-03-21,84271.0,87431.0,81208.0,82570.0,Coingecko,BITCOIN
2025-03-25,87328.0,88714.0,83239.0,84326.0,Coingecko,BITCOIN
